Case ID,u_star0 (m/s) precursor friction velocity,P_infty (MW/rho) power of isolated turbine,tau_t0/tau_w0 ratio of shear stresses at farm-layer top vs surface
H1000-C0-G0,0.2777361,7.62E+06,0.415
H1000-C2-G1,0.275,7.62E+06,0.552
H1000-C2-G4,0.275,7.62E+06,0.552
H1000-C2-G8,0.275,7.62E+06,0.552
H1000-C5-G1,0.275,7.62E+06,0.552
H1000-C5-G4,0.275,7.62E+06,0.552
H1000-C5-G8,0.275,7.62E+06,0.552
H1000-C8-G1,0.275,7.62E+06,0.552
H1000-C8-G4,0.275,7.62E+06,0.552
H1000-C8-G8,0.275,7.62E+06,0.423
H500-C0-G0,0.277,7.90E+06,0.385
H500-C2-G1,0.277,7.90E+06,0.337
H500-C2-G4,0.277,7.90E+06,0.385
H500-C2-G8,0.277,7.90E+06,0.337
H500-C5-G1,0.278,7.90E+06,0.385
H500-C5-G4,0.277,7.90E+06,0.385
H500-C5-G8,0.277,7.90E+06,0.385
H500-C8-G1,0.278,7.90E+06,0.325
H500-C8-G4,0.278,7.90E+06,0.385
H500-C8-G8,0.278,7.90E+06,0.326
H300-C0-G0,0.281,8.00E+06,0.0972
H300-C2-G1,0.28,8.00E+06,0.0972
H300-C2-G4,0.28,8.00E+06,0.0972
H300-C2-G8,0.281,8.00E+06,0.142
H300-C5-G1,0.281,8.00E+06,0.0972
H300-C5-G4,0.281,8.00E+06,0.0972
H300-C5-G8,0.281,8.00E+06,0.0972
H300-C8-G1,0.281,8.00E+06,0.0972
H300-C8-G4,0.281,8.00E+06,0.0972
H300-C8-G8,0.282,8.00E+06,0.0972
H150-C0-G0,0.277,7.84E+06,0
H150-C2-G1,0.28,7.84E+06,0
H150-C2-G4,0.28,7.84E+06,0
H150-C2-G8,0.279,7.84E+06,0
H150-C5-G1,0.278,7.84E+06,0
H150-C5-G4,0.277,7.84E+06,0
H150-C5-G8,0.277,7.84E+06,0
H150-C8-G1,0.276,7.84E+06,0
H150-C8-G4,0.276,7.84E+06,0
H150-C8-G8,0.275,7.84E+06,0
