# Case_ID,eta_w,eta_nl,Pi_T,Pi_F,Pi_F_predicted,k
H1000-C0-G0,0.488214,0.956593,-0.065970,0.596653,0.554814,0.103033
H1000-C2-G1,0.562712,0.832286,-0.055096,0.591688,0.554976,0.095165
H1000-C2-G4,0.561377,0.879339,-0.053372,0.569846,0.557366,0.093354
H1000-C2-G8,0.568344,0.879151,-0.051119,0.562178,0.556252,0.093472
H1000-C5-G1,0.615531,0.827187,-0.046519,0.552439,0.555569,0.087211
H1000-C5-G4,0.593373,0.867214,-0.050704,0.549912,0.553009,0.092319
H1000-C5-G8,0.574663,0.896475,-0.050811,0.549630,0.554422,0.092677
H1000-C8-G1,0.598148,0.886281,-0.048378,0.533979,0.555973,0.086863
H1000-C8-G4,0.583642,0.904350,-0.050137,0.536326,0.554799,0.089921
H1000-C8-G8,0.573745,0.909371,-0.047881,0.541383,0.551885,0.088762
H500-C0-G0,0.480243,0.980082,-0.064339,0.600788,0.587478,0.102465
H500-C2-G1,0.543445,0.821698,-0.061615,0.619266,0.584624,0.097004
H500-C2-G4,0.598261,0.794483,-0.054323,0.592623,0.585233,0.088233
H500-C2-G8,0.620550,0.794234,-0.049992,0.574732,0.584344,0.085651
H500-C5-G1,0.784485,0.591673,-0.048031,0.601656,0.585112,0.079577
H500-C5-G4,0.712733,0.697682,-0.048739,0.572570,0.587368,0.082725
H500-C5-G8,0.689100,0.741453,-0.044419,0.557954,0.588326,0.081439
H500-C8-G1,0.823468,0.639005,-0.046472,0.548248,0.588706,0.074179
H500-C8-G4,0.748150,0.715908,-0.046915,0.540878,0.587011,0.077723
H500-C8-G8,0.723991,0.742878,-0.046478,0.538392,0.588572,0.079286
H300-C0-G0,0.479500,1.025262,-0.101913,0.610703,0.653776,0.104444
H300-C2-G1,0.500898,0.856684,-0.073125,0.647718,0.641110,0.093683
H300-C2-G4,0.578917,0.781822,-0.061657,0.625014,0.642261,0.086864
H300-C2-G8,0.619620,0.752896,-0.055221,0.610764,0.643400,0.084103
H300-C5-G1,0.707319,0.577447,-0.061476,0.664121,0.653709,0.088847
H300-C5-G4,0.735844,0.607465,-0.057267,0.631221,0.653776,0.084920
H300-C5-G8,0.735099,0.638942,-0.056037,0.611816,0.653070,0.081094
H300-C8-G1,1.002767,0.437410,-0.052480,0.637464,0.658585,0.076377
H300-C8-G4,0.887202,0.526498,-0.052751,0.614143,0.658579,0.075724
H300-C8-G8,0.831950,0.582854,-0.053307,0.599720,0.658216,0.077683
H150-C0-G0,0.533165,1.060568,-0.166776,0.586223,nan,nan
H150-C2-G1,0.455652,0.900371,-0.079981,0.676696,nan,nan
H150-C2-G4,0.519838,0.803192,-0.051739,0.662510,nan,nan
H150-C2-G8,0.570357,0.748689,-0.032010,0.648462,nan,nan
H150-C5-G1,0.500184,0.697704,-0.012918,0.706717,nan,nan
H150-C5-G4,0.615261,0.609470,0.004837,0.678564,nan,nan
H150-C5-G8,0.678207,0.574181,0.020082,0.661419,nan,nan
H150-C8-G1,1.226844,0.264968,0.044139,0.709358,nan,nan
H150-C8-G4,0.979986,0.362914,0.059459,0.677222,nan,nan
H150-C8-G8,0.891981,0.419403,0.064205,0.657112,nan,nan
H1000-C5-G4_aligned,0.443898,0.896154,0.181652,0.553026,nan,nan
H500-C5-G4_aligned,0.513881,0.748097,0.184088,0.576119,nan,nan
